,file name,dpct snippet,manual snippets
10,../oneAPI-DirectProgramming-training/aobench/dpcpp/ao.dp.cpp,"   /*
","   /*
"
11,../oneAPI-DirectProgramming-training/aobench/dpcpp/ao.dp.cpp,"   /*
","   /*
"
12,../oneAPI-DirectProgramming-training/aobench/dpcpp/ao.dp.cpp,"   /*
","   /*
"
13,../oneAPI-DirectProgramming-training/aobench/dpcpp/ao.dp.cpp,"   /*
","   /*
"
14,../oneAPI-DirectProgramming-training/atomicIntrinsics/dpcpp/main.dp.cpp,"       q_ct1.submit([&](sycl::handler &cgh) {
          cgh.parallel_for(
              sycl::nd_range<3>(sycl::range<3>(1, 1, numBlocks) *
                                    sycl::range<3>(1, 1, numThreads),
                                sycl::range<3>(1, 1, numThreads)),
              [=](sycl::nd_item<3> item_ct1) {
                 testKernel(dOData, item_ct1);
              });
       });
","         q_ct1.submit([&](sycl::handler &cgh) {
             cgh.parallel_for(
                 sycl::nd_range<3>(sycl::range<3>(1, 1, numBlocks) *
                                       sycl::range<3>(1, 1, numThreads),
                                   sycl::range<3>(1, 1, numThreads)),
                 [=](sycl::nd_item<3> item_ct1) {
                     testKernel(dOData, item_ct1);
                 });
         });
"
15,../oneAPI-DirectProgramming-training/b+tree/dpcpp/kernel/kernel.dp.cpp,"                 item_ct1.barrier();
","     item_ct1.barrier(sycl::access::fence_space::local_space);
"
16,../oneAPI-DirectProgramming-training/b+tree/dpcpp/kernel/kernel.dp.cpp,"                 item_ct1.barrier();
","     item_ct1.barrier(sycl::access::fence_space::local_space);
"
17,../oneAPI-DirectProgramming-training/b+tree/dpcpp/kernel/kernel2.dp.cpp,"                 item_ct1.barrier();
","     item_ct1.barrier(sycl::access::fence_space::local_space);
"
18,../oneAPI-DirectProgramming-training/b+tree/dpcpp/kernel/kernel2.dp.cpp,"                 item_ct1.barrier();
","     item_ct1.barrier(sycl::access::fence_space::local_space);
"
19,../oneAPI-DirectProgramming-training/b+tree/dpcpp/kernel/kernel2.dp.cpp,"         item_ct1.barrier();
","   item_ct1.barrier(sycl::access::fence_space::local_space);
"
20,../oneAPI-DirectProgramming-training/backprop/dpcpp/main.dp.cpp,"   q_ct1.submit([&](sycl::handler &cgh) {
     sycl::accessor<float, 1, sycl::access::mode::read_write,
                    sycl::access::target::local>
     sycl::accessor<float, 1, sycl::access::mode::read_write,
                    sycl::access::target::local>
 
     cgh.parallel_for(sycl::nd_range<3>(grid * threads, threads),
                      [=](sycl::nd_item<3> item_ct1) {
                        kernel_layerforward(d_input, d_input_weights,
                                            d_hidden_partial_sum, hid, item_ct1,
                                            input_node_acc_ct1.get_pointer(),
                                            weight_matrix_acc_ct1.get_pointer());
                      });
   });
","   q_ct1.submit([&](sycl::handler &cgh) {
     sycl::accessor<float, 1, sycl::access::mode::read_write,
                    sycl::access::target::local>
     sycl::accessor<float, 1, sycl::access::mode::read_write,
                    sycl::access::target::local>
 
     auto dpct_global_range = grid * threads;
 
     cgh.parallel_for(
         sycl::nd_range<3>(
             sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                            dpct_global_range.get(0)),
             sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
         [=](sycl::nd_item<3> item_ct1) {
           kernel_layerforward(d_input, d_input_weights, d_hidden_partial_sum,
                               hid, item_ct1, input_node_acc_ct1.get_pointer(),
                               weight_matrix_acc_ct1.get_pointer());
         });
   });
"
21,../oneAPI-DirectProgramming-training/backprop/dpcpp/main.dp.cpp,"   q_ct1.submit([&](sycl::handler &cgh) {
     cgh.parallel_for(sycl::nd_range<3>(grid * threads, threads),
                      [=](sycl::nd_item<3> item_ct1) {
                        kernel_adjust_weights(
                            d_input, d_input_weights, d_hidden_delta,
                            d_input_prev_weights, hid, item_ct1);
                      });
   });
","   q_ct1.submit([&](sycl::handler &cgh) {
     auto dpct_global_range = grid * threads;
 
     cgh.parallel_for(
         sycl::nd_range<3>(
             sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                            dpct_global_range.get(0)),
             sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
         [=](sycl::nd_item<3> item_ct1) {
           kernel_adjust_weights(d_input, d_input_weights, d_hidden_delta,
                                 d_input_prev_weights, hid, item_ct1);
         });
   });
"
22,../oneAPI-DirectProgramming-training/bezier-surface/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
         cgh.parallel_for(sycl::nd_range<3>(grid * block, block),
                          [=](sycl::nd_item<3> item_ct1) {
                              BezierGPU(d_in, d_out, in_size_i, in_size_j,
                                        out_size_i, out_size_j, item_ct1);
                          });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
         auto dpct_global_range = grid * block;
 
         cgh.parallel_for(
             sycl::nd_range<3>(
                 sycl::range<3>(dpct_global_range.get(2),
                                dpct_global_range.get(1),
                                dpct_global_range.get(0)),
                 sycl::range<3>(block.get(2), block.get(1), block.get(0))),
             [=](sycl::nd_item<3> item_ct1) {
                 BezierGPU(d_in, d_out, in_size_i, in_size_j, out_size_i,
                           out_size_j, item_ct1);
             });
     });
"
23,../oneAPI-DirectProgramming-training/bfs/dpcpp/bfs.dp.cpp,"                 q_ct1.submit([&](sycl::handler &cgh) {
                         cgh.parallel_for(
                             sycl::nd_range<3>(grid * threads, threads),
                             [=](sycl::nd_item<3> item_ct1) {
                                     Kernel(d_graph_nodes, d_graph_edges,
                                            d_graph_mask, d_updating_graph_mask,
                                            d_graph_visited, d_cost, no_of_nodes,
                                            item_ct1);
                             });
                 });
","   q_ct1.submit([&](sycl::handler &cgh) {
    auto dpct_global_range = grid * threads;
 
    cgh.parallel_for(
        sycl::nd_range<3>(
            sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                           dpct_global_range.get(0)),
            sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
        [=](sycl::nd_item<3> item_ct1) {
         Kernel(d_graph_nodes, d_graph_edges, d_graph_mask,
                d_updating_graph_mask, d_graph_visited, d_cost, no_of_nodes,
                item_ct1);
        });
   });
"
24,../oneAPI-DirectProgramming-training/bfs/dpcpp/bfs.dp.cpp,"                 q_ct1.submit([&](sycl::handler &cgh) {
                         cgh.parallel_for(
                             sycl::nd_range<3>(grid * threads, threads),
                             [=](sycl::nd_item<3> item_ct1) {
                                     Kernel2(d_graph_mask, d_updating_graph_mask,
                                             d_graph_visited, d_over,
                                             no_of_nodes, item_ct1);
                             });
                 });
","   q_ct1.submit([&](sycl::handler &cgh) {
    auto dpct_global_range = grid * threads;
 
    cgh.parallel_for(
        sycl::nd_range<3>(
            sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                           dpct_global_range.get(0)),
            sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
        [=](sycl::nd_item<3> item_ct1) {
         Kernel2(d_graph_mask, d_updating_graph_mask, d_graph_visited, d_over,
                 no_of_nodes, item_ct1);
        });
   });
"
25,../oneAPI-DirectProgramming-training/boxfilter/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
26,../oneAPI-DirectProgramming-training/boxfilter/dpcpp/main.dp.cpp,"   /*
","   /*
"
27,../oneAPI-DirectProgramming-training/boxfilter/dpcpp/main.dp.cpp,"   /*
","   /*
"
28,../oneAPI-DirectProgramming-training/bsearch/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
29,../oneAPI-DirectProgramming-training/bspline-vgh/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       cgh.parallel_for(
           sycl::nd_range<3>(global_size * local_size, local_size),
           [=](sycl::nd_item<3> item_ct1) {
             bspline(d_spline_coefs, xs, ys, zs, d_walkers_vals, d_walkers_grads,
                     d_walkers_hess, d_a, d_b, d_c, d_da, d_db, d_dc, d_d2a,
                     d_d2b, d_d2c, spline_x_grid_delta_inv,
                     spline_y_grid_delta_inv, spline_z_grid_delta_inv,
                     spline_num_splines, i, ix, iy, iz, item_ct1);
           });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       auto dpct_global_range = global_size * local_size;
 
       cgh.parallel_for(
           sycl::nd_range<3>(sycl::range<3>(dpct_global_range.get(2),
                                            dpct_global_range.get(1),
                                            dpct_global_range.get(0)),
                             sycl::range<3>(local_size.get(2), local_size.get(1),
                                            local_size.get(0))),
           [=](sycl::nd_item<3> item_ct1) {
             bspline(d_spline_coefs, xs, ys, zs, d_walkers_vals, d_walkers_grads,
                     d_walkers_hess, d_a, d_b, d_c, d_da, d_db, d_dc, d_d2a,
                     d_d2b, d_d2c, spline_x_grid_delta_inv,
                     spline_y_grid_delta_inv, spline_z_grid_delta_inv,
                     spline_num_splines, i, ix, iy, iz, item_ct1);
           });
     });
"
30,../oneAPI-DirectProgramming-training/ccsd-trpdrv/dpcpp/ccsd_tengy.dp.cpp,"     dpct::atomic_fetch_add(emp4i,
","         dpct::atomic_fetch_add(emp4i,
"
31,../oneAPI-DirectProgramming-training/ccsd-trpdrv/dpcpp/ccsd_tengy.dp.cpp,"     dpct::atomic_fetch_add(emp4k,
","         dpct::atomic_fetch_add(emp4k,
"
32,../oneAPI-DirectProgramming-training/ccsd-trpdrv/dpcpp/ccsd_tengy.dp.cpp,"     dpct::atomic_fetch_add(
","         dpct::atomic_fetch_add(
"
33,../oneAPI-DirectProgramming-training/ccsd-trpdrv/dpcpp/ccsd_tengy.dp.cpp,"     dpct::atomic_fetch_add(
","         dpct::atomic_fetch_add(
"
34,../oneAPI-DirectProgramming-training/ccsd-trpdrv/dpcpp/main.dp.cpp,"                     /*
","                     /*
"
35,../oneAPI-DirectProgramming-training/ccsd-trpdrv/dpcpp/main.dp.cpp,"                     /*
","                     /*
"
36,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"         /*
","         /*
"
37,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"         /*
","         /*
"
38,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"         /*
","         /*
"
39,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"                 /*
","                 /*
"
40,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"         /*
","         /*
"
41,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"         /*
","         /*
"
42,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"                 /*
","                 /*
"
43,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"         /*
","         /*
"
44,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"         /*
","         /*
"
45,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"                 /*
","                 /*
"
46,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"         dpct::get_default_queue().submit([&](sycl::handler &cgh) {
                 cgh.parallel_for(
                     sycl::nd_range<3>(sycl::range<3>(1, 1, BLOCKS) *
                                           sycl::range<3>(1, 1, THREADS),
                                       sycl::range<3>(1, 1, THREADS)),
                     [=](sycl::nd_item<3> item_ct1) {
                             kernel(rows, cols, ncases, ncontrols, dev_dataT,
                                    results, item_ct1);
                     });
         });
","         dpct::get_default_queue().submit([&](sycl::handler &cgh) {
                 cgh.parallel_for(
                     sycl::nd_range<3>(sycl::range<3>(1, 1, BLOCKS) *
                                           sycl::range<3>(1, 1, THREADS),
                                       sycl::range<3>(1, 1, THREADS)),
                     [=](sycl::nd_item<3> item_ct1) {
                             kernel(rows, cols, ncases, ncontrols, dev_dataT,
                                    results, item_ct1);
                     });
         });
"
47,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"         /*
","         /*
"
48,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"         /*
","         /*
"
49,../oneAPI-DirectProgramming-training/chi2/dpcpp/chi2.dp.cpp,"                 /*
","                 /*
"
50,../oneAPI-DirectProgramming-training/compute-score/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
51,../oneAPI-DirectProgramming-training/compute-score/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       sycl::accessor<ulong, 1, sycl::access::mode::read_write,
                      sycl::access::target::local>
           partial_acc_ct1(
 
       cgh.parallel_for(sycl::nd_range<3>(sycl::range<3>(1, 1, global_size) *
                                              sycl::range<3>(1, 1, local_size),
                                          sycl::range<3>(1, 1, local_size)),
                        [=](sycl::nd_item<3> item_ct1) {
                          compute(d_docWordFrequencies_dimm1,
                                  d_docWordFrequencies_dimm2,
                                  d_profileWeights_dimm1, d_profileWeights_dimm2,
                                  d_isWordInProfileHash, d_partialSums_dimm1,
                                  d_partialSums_dimm2, item_ct1,
                                  partial_acc_ct1.get_pointer());
                        });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       sycl::accessor<ulong, 1, sycl::access::mode::read_write,
                      sycl::access::target::local>
           partial_acc_ct1(
 
       cgh.parallel_for(sycl::nd_range<3>(sycl::range<3>(1, 1, global_size) *
                                              sycl::range<3>(1, 1, local_size),
                                          sycl::range<3>(1, 1, local_size)),
                        [=](sycl::nd_item<3> item_ct1) {
                          compute(d_docWordFrequencies_dimm1,
                                  d_docWordFrequencies_dimm2,
                                  d_profileWeights_dimm1, d_profileWeights_dimm2,
                                  d_isWordInProfileHash, d_partialSums_dimm1,
                                  d_partialSums_dimm2, item_ct1,
                                  partial_acc_ct1.get_pointer());
                        });
     });
"
52,../oneAPI-DirectProgramming-training/compute-score/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       cgh.parallel_for(
           sycl::nd_range<3>(sycl::range<3>(1, 1, global_size_reduction) *
                                 sycl::range<3>(1, 1, local_size_reduction),
                             sycl::range<3>(1, 1, local_size_reduction)),
           [=](sycl::nd_item<3> item_ct1) {
             reduction(d_docInfo, d_partialSums_dimm1, d_partialSums_dimm2,
                       d_profileScore, item_ct1);
           });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       cgh.parallel_for(
           sycl::nd_range<3>(sycl::range<3>(1, 1, global_size_reduction) *
                                 sycl::range<3>(1, 1, local_size_reduction),
                             sycl::range<3>(1, 1, local_size_reduction)),
           [=](sycl::nd_item<3> item_ct1) {
             reduction(d_docInfo, d_partialSums_dimm1, d_partialSums_dimm2,
                       d_profileScore, item_ct1);
           });
     });
"
53,../oneAPI-DirectProgramming-training/d2q9-bgk/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
54,../oneAPI-DirectProgramming-training/d2q9-bgk/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       sycl::accessor<int, 1, sycl::access::mode::read_write,
                      sycl::access::target::local>
                              cgh);
       sycl::accessor<float, 1, sycl::access::mode::read_write,
                      sycl::access::target::local>
 
       cgh.parallel_for(
           sycl::nd_range<3>(grids * threads, threads),
           [=](sycl::nd_item<3> item_ct1) {
             d2q9_bgk(speeds0, speeds1, speeds2, speeds3, speeds4, speeds5,
                      speeds6, speeds7, speeds8, tmp_speeds0, tmp_speeds1,
                      tmp_speeds2, tmp_speeds3, tmp_speeds4, tmp_speeds5,
                      tmp_speeds6, tmp_speeds7, tmp_speeds8, obstacles,
                      partial_sum, partial_sum2, densityaccel, omega, Nx, Ny, tt,
                      item_ct1, local_sum2_acc_ct1.get_pointer(),
                      local_sum_acc_ct1.get_pointer());
           });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       sycl::accessor<int, 1, sycl::access::mode::read_write,
                      sycl::access::target::local>
                              cgh);
       sycl::accessor<float, 1, sycl::access::mode::read_write,
                      sycl::access::target::local>
 
       auto dpct_global_range = grids * threads;
 
       cgh.parallel_for(
           sycl::nd_range<3>(
               sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                              dpct_global_range.get(0)),
               sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
           [=](sycl::nd_item<3> item_ct1) {
             d2q9_bgk(speeds0, speeds1, speeds2, speeds3, speeds4, speeds5,
                      speeds6, speeds7, speeds8, tmp_speeds0, tmp_speeds1,
                      tmp_speeds2, tmp_speeds3, tmp_speeds4, tmp_speeds5,
                      tmp_speeds6, tmp_speeds7, tmp_speeds8, obstacles,
                      partial_sum, partial_sum2, densityaccel, omega, Nx, Ny, tt,
                      item_ct1, local_sum2_acc_ct1.get_pointer(),
                      local_sum_acc_ct1.get_pointer());
           });
     });
"
55,../oneAPI-DirectProgramming-training/dp/dpcpp/main.dp.cpp,"     /*
","     /*
"
56,../oneAPI-DirectProgramming-training/dslash/dpcpp/kernels.dp.cpp,"     /*
","     /*
"
57,../oneAPI-DirectProgramming-training/easyWave/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       cgh.parallel_for(sycl::nd_range<3>(grids * threads, threads),
                        [=](sycl::nd_item<3> item_ct1) {
                          kernel(d_node, d_R6, Imin, Jmin, Imax, Jmax, NLat,
                                 Par.sshZeroThreshold, Par.sshArrivalThreshold,
                                 Par.time, item_ct1);
                        });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       auto dpct_global_range = grids * threads;
 
       cgh.parallel_for(
           sycl::nd_range<3>(
               sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                              dpct_global_range.get(0)),
               sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
           [=](sycl::nd_item<3> item_ct1) {
             kernel(d_node, d_R6, Imin, Jmin, Imax, Jmax, NLat,
                    Par.sshZeroThreshold, Par.sshArrivalThreshold, Par.time,
                    item_ct1);
           });
     });
"
58,../oneAPI-DirectProgramming-training/easyWave/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       cgh.parallel_for(sycl::nd_range<3>(grids * threads, threads),
                        [=](sycl::nd_item<3> item_ct1) {
                          kernel3(d_node, d_R6, Imin, Jmin, Imax, Jmax, NLat,
                                  item_ct1);
                        });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       auto dpct_global_range = grids * threads;
 
       cgh.parallel_for(
           sycl::nd_range<3>(
               sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                              dpct_global_range.get(0)),
               sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
           [=](sycl::nd_item<3> item_ct1) {
             kernel3(d_node, d_R6, Imin, Jmin, Imax, Jmax, NLat, item_ct1);
           });
     });
"
59,../oneAPI-DirectProgramming-training/epistatis/dpcpp/main.dp.cpp,"     /*
","     /*
"
60,../oneAPI-DirectProgramming-training/extrema/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       cgh.parallel_for(sycl::nd_range<3>(grids * threads, threads),
                        [=](sycl::nd_item<3> item_ct1) {
                          relextrema_1D<T>(length, order, clip, d_x, d_result,
                                           item_ct1);
                        });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       auto dpct_global_range = grids * threads;
 
       cgh.parallel_for(
           sycl::nd_range<3>(
               sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                              dpct_global_range.get(0)),
               sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
           [=](sycl::nd_item<3> item_ct1) {
             relextrema_1D<T>(length, order, clip, d_x, d_result, item_ct1);
           });
     });
"
61,../oneAPI-DirectProgramming-training/extrema/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       cgh.parallel_for(sycl::nd_range<3>(grids * threads, threads),
                        [=](sycl::nd_item<3> item_ct1) {
                          relextrema_2D(length_x, length_y, order, clip, axis,
                                        d_x, d_result, item_ct1);
                        });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       auto dpct_global_range = grids * threads;
 
       cgh.parallel_for(
           sycl::nd_range<3>(
               sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                              dpct_global_range.get(0)),
               sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
           [=](sycl::nd_item<3> item_ct1) {
             relextrema_2D(length_x, length_y, order, clip, axis, d_x, d_result,
                           item_ct1);
           });
     });
"
62,../oneAPI-DirectProgramming-training/filter/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
63,../oneAPI-DirectProgramming-training/filter/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
64,../oneAPI-DirectProgramming-training/filter/dpcpp/main.dp.cpp,"     *l_n = sycl::atomic<int>(sycl::global_ptr<int>(nres)).fetch_add(*l_n);
","     *l_n = sycl::atomic<int>(sycl::global_ptr<int>(nres)).fetch_add(*l_n);
"
65,../oneAPI-DirectProgramming-training/filter/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
66,../oneAPI-DirectProgramming-training/filter/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
67,../oneAPI-DirectProgramming-training/filter/dpcpp/main.dp.cpp,"   q_ct1.submit([&](sycl::handler &cgh) {
     sycl::accessor<int, 0, sycl::access::mode::read_write,
                    sycl::access::target::local>
         l_n_acc_ct1(cgh);
 
     cgh.parallel_for(sycl::nd_range<3>(dimGrid * dimBlock, dimBlock),
                      [=](sycl::nd_item<3> item_ct1) {
                        filter(d_filtered_data, d_nres, d_data_to_filter,
                               NUM_ELEMS, item_ct1, l_n_acc_ct1.get_pointer());
                      });
   });
","   q_ct1.submit([&](sycl::handler &cgh) {
     sycl::accessor<int, 0, sycl::access::mode::read_write,
                    sycl::access::target::local>
         l_n_acc_ct1(cgh);
 
     auto dpct_global_range = dimGrid * dimBlock;
 
     cgh.parallel_for(
         sycl::nd_range<3>(
             sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                            dpct_global_range.get(0)),
             sycl::range<3>(dimBlock.get(2), dimBlock.get(1), dimBlock.get(0))),
         [=](sycl::nd_item<3> item_ct1) {
           filter(d_filtered_data, d_nres, d_data_to_filter, NUM_ELEMS, item_ct1,
                  l_n_acc_ct1.get_pointer());
         });
   });
"
68,../oneAPI-DirectProgramming-training/floydwarshall/dpcpp/main.dp.cpp,"       q_ct1.submit([&](sycl::handler &cgh) {
         cgh.parallel_for(sycl::nd_range<3>(grids * threads, threads),
                          [=](sycl::nd_item<3> item_ct1) {
                            floydWarshallPass(pathDistanceBuffer, pathBuffer,
                                              numNodes, i, item_ct1);
                          });
       });
","       q_ct1.submit([&](sycl::handler &cgh) {
         auto dpct_global_range = grids * threads;
 
         cgh.parallel_for(
             sycl::nd_range<3>(
                 sycl::range<3>(dpct_global_range.get(2),
                                dpct_global_range.get(1),
                                dpct_global_range.get(0)),
                 sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
             [=](sycl::nd_item<3> item_ct1) {
               floydWarshallPass(pathDistanceBuffer, pathBuffer, numNodes, i,
                                 item_ct1);
             });
       });
"
69,../oneAPI-DirectProgramming-training/fpc/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
70,../oneAPI-DirectProgramming-training/fpc/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
